q,p,v
70941.64799152956,212824.94397458868,468214.8767440951
39260.32541048238,117780.97623144712,259118.1477091837
50819.435539974926,152458.30661992476,335408.27456383454
1436.4284229475568,4309.28526884267,9480.427591453874
308.59315614722846,925.7794684416854,2036.7148305717078
0.07678571428571429,0.23035714285714287,0.5067857142857144
0.33333333333333337,1.0,2.2
0.1484375,0.4453125,0.9796875
0.15051020408163263,0.45153061224489777,0.9933673469387753
6.843173634543302,20.5295209036299,45.16494598798579
0.1418650793650794,0.4255952380952381,0.9363095238095239
0.15000000000000002,0.44999999999999996,0.99
0.13571428571428573,0.40714285714285714,0.8957142857142858
11.144171137108316,33.43251341132494,73.55152950491488
3.7005163973618758,11.101549192085626,24.42340822258838
112.78928571428571,338.36785714285713,744.4092857142857
